ID	Platform	Farm	Breed	Depth	Coverage	RawReads	CleanReads
SHD_12180	LC	SHD	Duroc	1.441977866	0.419330649	25285854	24595604
SHD_12644	LC	SHD	Duroc	1.502798183	0.455915898	23912438	23519454
SHD_12935	LC	SHD	Duroc	2.676280917	0.407279873	20187846	19508032
SHD_13091	LC	SHD	Duroc	1.343365073	0.302717282	19665014	18776700
SHD_13523	LC	SHD	Duroc	1.532393673	0.481383243	28659170	27704232
SHD_13980	LC	SHD	Duroc	1.895472095	0.666336357	25634998	24813356
SHD_14002	LC	SHD	Duroc	1.420884018	0.407062025	22167944	21553638
SHD_14362	LC	SHD	Duroc	1.560987499	0.517403523	28845604	27829354
SHD_14474	LC	SHD	Duroc	2.653518468	0.412656092	20214186	19460788
SHD_14781	LC	SHD	Duroc	1.231087538	0.212676106	14283934	14057580
SHD_14822	LC	SHD	Duroc	1.296736504	0.236665339	15921836	15463490
SHD_14925	LC	SHD	Duroc	2.602955568	0.36535926	17796630	17175192
SHD_15312	LC	SHD	Duroc	2.622578069	0.395044944	19059008	18348534
SHD_15467	LC	SHD	Duroc	1.28361738	0.323670873	18081080	17514214
SHD_15510	LC	SHD	Duroc	1.501210646	0.350378811	17664340	17233430
SHD_15616	LC	SHD	Duroc	1.612716202	0.35670034	23399712	22800796
SHD_15759	LC	SHD	Duroc	1.303316468	0.300557445	18008026	17782626
SHD_15765	LC	SHD	Duroc	1.442648933	0.423376042	24797756	24082720
SHD_15816	LC	SHD	Duroc	1.642926951	0.386208273	22289042	21651190
SHD_16152	LC	SHD	Duroc	1.477529511	0.43845621	28652370	27769096
SHD_16327	LC	SHD	Duroc	2.610724342	0.393812516	18912040	18287686
SHD_16529	LC	SHD	Duroc	1.332329383	0.218301061	16365382	15639976
SHD_16581	LC	SHD	Duroc	2.031682662	0.682155232	30565068	29690978
SHD_16763	LC	SHD	Duroc	1.828445492	0.684023849	8909506	8817198
SHD_16937	LC	SHD	Duroc	1.287353721	0.238363993	19087782	18478692
SHD_17219	LC	SHD	Duroc	2.707544196	0.430129959	21473854	20713616
SHD_17312	LC	SHD	Duroc	1.633538263	0.518448605	21769144	20206746
SHD_17627	LC	SHD	Duroc	2.594335511	0.393307049	18731020	18034736
SHD_17802	LC	SHD	Duroc	1.693617823	0.615814648	21973306	21129228
SHD_17906	LC	SHD	Duroc	1.592698371	0.577843325	20344532	19998056
SHD_17954	LC	SHD	Duroc	1.680629492	0.601620052	25372392	24310916
SHD_17993	LC	SHD	Duroc	1.847488674	0.700985075	27643676	27112986
SHD_18262	LC	SHD	Duroc	1.669688794	0.438379496	21483364	20415566
SHD_18263	LC	SHD	Duroc	1.435779014	0.439101441	25821738	25011772
SHD_18357	LC	SHD	Duroc	1.482401794	0.444992768	25743108	25415528
SHD_18959	LC	SHD	Duroc	1.542692811	0.371503917	21696064	21145074
SHD_19276	LC	SHD	Duroc	1.859156587	0.691341304	27726342	27181188
SHD_19755	LC	SHD	Duroc	1.6011652	0.48131102	27892266	27380984
SHD_19839	LC	SHD	Duroc	1.323579343	0.274679608	18408340	17854336
SHD_19908	LC	SHD	Duroc	1.714887213	0.645484825	24777500	24348826
SHD_19990	LC	SHD	Duroc	1.450939219	0.441834837	30041634	29292544
SHD_20101	LC	SHD	Duroc	1.320276534	0.297562998	19327404	18714278
SHD_20284	LC	SHD	Duroc	1.571252701	0.300226015	15523148	15110954
SHD_20407	LC	SHD	Duroc	1.593762132	0.505676438	22672310	21627314
SHD_20435	LC	SHD	Duroc	1.267529683	0.259466686	15928326	15361598
SHD_20953	LC	SHD	Duroc	1.521623295	0.249338688	32665772	31252188
SHD_20981	LC	SHD	Duroc	2.002394504	0.731684774	31540684	30885832
SHD_21006	LC	SHD	Duroc	1.521387486	0.511926192	28467198	27716712
SHD_21090	LC	SHD	Duroc	1.778539643	0.643073401	23542438	22630796
SHD_21445	LC	SHD	Duroc	1.34538159	0.206378415	9213874	8976870
SHD_21566	LC	SHD	Duroc	1.564180767	0.537394156	23187904	22022428
SHD_21667	LC	SHD	Duroc	1.714504651	0.630882654	23668190	23251102
SHD_21671	LC	SHD	Duroc	1.464905329	0.454382063	26460568	25670114
SHD_21842	LC	SHD	Duroc	1.361588778	0.40177896	20794218	20523608
SHD_21844	LC	SHD	Duroc	1.594409607	0.509319901	22897662	21820022
SHD_21864	LC	SHD	Duroc	1.900784757	0.709035931	29716686	29184902
SHD_21933	LC	SHD	Duroc	1.545694384	0.521102555	26940846	25831532
SHD_22329	LC	SHD	Duroc	1.759775976	0.653296819	25239502	24799134
SHD_22365	LC	SHD	Duroc	1.826272145	0.668883834	26128338	25342510
SHD_22716	LC	SHD	Duroc	1.933805433	0.728900228	30439726	29850700
SHD_22989	LC	SHD	Duroc	1.582215953	0.526158925	22029208	21035362
SHD_23565	LC	SHD	Duroc	1.42951293	0.398398477	23016876	22690804
SHD_24399	LC	SHD	Duroc	1.498236158	0.400419298	24989776	24223494
SHD_24428	LC	SHD	Duroc	1.66449994	0.444792248	23171214	22127102
SHD_24434	LC	SHD	Duroc	1.509894406	0.43683881	23088538	22233550
SHD_24659	LC	SHD	Duroc	1.444627274	0.387503951	22204464	21413260
SHD_24705	LC	SHD	Duroc	1.701690608	0.636367482	24123356	23719546
SHD_25225	LC	SHD	Duroc	1.971443569	0.640664908	27897762	27122812
SHD_25313	LC	SHD	Duroc	1.279941338	0.241208157	17332228	16813672
SHD_25402	LC	SHD	Duroc	2.574634837	0.373875886	17665904	17063312
SHD_25820	LC	SHD	Duroc	2.695167171	0.428430664	21178944	20405400
SHD_26274	LC	SHD	Duroc	1.387292775	0.402562291	22557448	22270058
SHD_26322	LC	SHD	Duroc	1.594071282	0.550792131	35883652	34735844
SHD_26554	LC	SHD	Duroc	2.04395515	0.757426591	33252248	32621436
SHD_26601	LC	SHD	Duroc	1.529781547	0.507001141	25989102	24934358
SHD_26683	LC	SHD	Duroc	1.562459036	0.52288537	26325004	25179840
SHD_26822	LC	SHD	Duroc	1.557245568	0.526971047	29056658	28019054
SHD_26877	LC	SHD	Duroc	1.811094229	0.669623891	26465048	25998816
SHD_26946	LC	SHD	Duroc	1.840669777	0.677380564	25224630	24219532
SHD_26975	LC	SHD	Duroc	1.867545578	0.697732825	26059786	24953058
SHD_26990	LC	SHD	Duroc	1.368127267	0.297614353	18694380	17950148
SHD_27039	LC	SHD	Duroc	1.371975992	0.354327752	23998754	23645274
SHD_27050	LC	SHD	Duroc	1.46500786	0.460508414	28107762	27231150
SHD_27131	LC	SHD	Duroc	1.609264455	0.465401715	21747050	20559744
SHD_27301	LC	SHD	Duroc	1.520677574	0.459783021	26813326	25775160
SHD_27327	LC	SHD	Duroc	1.679309561	0.477038583	22947680	21978196
SHD_27424	LC	SHD	Duroc	1.711655664	0.61971798	22964404	22538018
SHD_27452	LC	SHD	Duroc	1.60909612	0.561060849	32522992	31417998
SHD_27454	LC	SHD	Duroc	1.597034343	0.550056647	24216462	23110234
SHD_27481	LC	SHD	Duroc	1.300751346	0.292606997	15958482	15386162
SHD_27593	LC	SHD	Duroc	1.968047509	0.715926651	28839044	27649356
SHD_27642	LC	SHD	Duroc	1.633299777	0.482614799	22158778	21077036
SHD_28139	LC	SHD	Duroc	2.76071478	0.453861955	23285790	22422698
SHD_28145	LC	SHD	Duroc	1.534933884	0.508866068	22851718	21965498
SHD_28254	LC	SHD	Duroc	1.630573912	0.542255558	24785142	23705548
SHD_28340	LC	SHD	Duroc	1.857179625	0.698639083	26757002	25604628
SHD_29074	LC	SHD	Duroc	1.810663993	0.676041134	26684286	26176490
SHD_29167	LC	SHD	Duroc	1.573055817	0.530937257	30980732	29844368
SHD_29200	LC	SHD	Duroc	1.363625038	0.202877303	17291432	16550012
SHD_29205	LC	SHD	Duroc	2.153221682	0.767890342	33980866	32887658
SHD_29274	LC	SHD	Duroc	1.646037844	0.502877303	21843588	20695030
SHD_29288	LC	SHD	Duroc	1.479566433	0.460700018	26258590	25579102
SHD_29423	LC	SHD	Duroc	1.539283376	0.483525407	33367914	32917132
SHD_29488	LC	SHD	Duroc	1.540423925	0.49161216	21102098	20202972
