PC1	PC2	GRP	ID
-0.00876171	0.00448137	SHD	SHD_1271
-0.0117269	0.00498701	SHD	SHD_1272
-0.00948671	0.0014131	SHD	SHD_1289
-0.0043171	-0.00302347	SHD	SHD_1293
-0.0125514	0.00828067	SHD	SHD_1295
-0.0111016	0.00317859	SHD	SHD_1314
-0.0093853	0.00252132	SHD	SHD_1315
-0.00818202	0.000633194	SHD	SHD_1320
-0.00946311	0.00548072	SHD	SHD_1323
-0.00561704	-0.000279925	SHD	SHD_1325
-0.0146667	0.00684193	SHD	SHD_1333
-0.00935698	-0.00199739	SHD	SHD_1337
-0.00977718	0.00177734	SHD	SHD_1348
-0.0107558	0.00427507	SHD	SHD_1351
-0.0122956	0.00756818	SHD	SHD_1352
-0.0103649	0.00812033	SHD	SHD_1370
-0.00923595	0.0030095	SHD	SHD_1371
-0.0118823	0.00957247	SHD	SHD_1383
-0.00932204	0.00642749	SHD	SHD_1385
-0.00670504	0.00108752	SHD	SHD_1389
-0.00803952	-0.000293234	SHD	SHD_1394
-0.00753075	0.00275231	SHD	SHD_1396
-0.00901721	0.00566299	SHD	SHD_1397
-0.00877706	0.0061609	SHD	SHD_1399
-0.00784523	0.00175474	SHD	SHD_1401
-0.00359628	0.000871142	SHD	SHD_1402
-0.00929144	0.00535867	SHD	SHD_1409
-0.00547993	-0.000672938	SHD	SHD_1414
-0.0109594	0.00120946	SHD	SHD_1415
-0.00962471	0.00697015	SHD	SHD_1417
-0.00638363	0.00447913	SHD	SHD_1418
-0.0123664	0.00772653	SHD	SHD_1419
-0.0109662	0.00268046	SHD	SHD_1420
-0.0100372	0.00417584	SHD	SHD_1425
-0.00859558	0.00274598	SHD	SHD_1426
-0.00882737	0.00241305	SHD	SHD_1429
-0.0106625	0.00549311	SHD	SHD_1433
-0.00781196	0.00519929	SHD	SHD_1436
-0.00700591	0.00450443	SHD	SHD_1446
-0.00651584	0.00159464	SHD	SHD_1448
-0.0076241	0.00384717	SHD	SHD_1450
-0.00783394	0.00468887	SHD	SHD_1451
-0.00655273	-0.0012451	SHD	SHD_1463
-0.00964925	0.00656186	SHD	SHD_1471
-0.00807188	0.00239067	SHD	SHD_1487
-0.00600803	-0.0019802	SHD	SHD_1489
-0.0106747	0.00876067	SHD	SHD_1491
-0.0105932	-0.00194863	SHD	SHD_1499
-0.00947851	0.00265827	SHD	SHD_1501
-0.0086334	0.00317271	SHD	SHD_1504
-0.0101799	0.00647349	SHD	SHD_1506
-0.00868854	0.00284763	SHD	SHD_1507
-0.00631932	-0.00429191	SHD	SHD_1510
-0.0047551	-0.00218373	SHD	SHD_1512
-0.00884747	-0.00137123	SHD	SHD_1513
-0.0104293	0.00422311	SHD	SHD_1519
-0.00765698	0.00301546	SHD	SHD_1530
-0.00920697	0.000823988	SHD	SHD_1539
-0.00819889	0.00321076	SHD	SHD_1545
-0.00977584	0.00810552	SHD	SHD_1546
-0.00730415	0.00311232	SHD	SHD_1548
-0.00914029	0.000181812	SHD	SHD_1554
-0.0113037	0.00368746	SHD	SHD_1555
-0.0106405	0.00393872	SHD	SHD_1572
-0.0119651	-0.000312132	SHD	SHD_1577
-0.0110739	0.00315557	SHD	SHD_1578
-0.00989748	0.00275417	SHD	SHD_1580
-0.00998722	0.00170951	SHD	SHD_1581
