Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Lutibacter	37	21	200	41	22	36	46	136	79	19	6	22	20	40	315	3	12	9	23	87	14	56	467	37
Maribacter	95	108	176	77	95	100	215	209	104	107	60	71	60	109	469	13	39	166	62	167	59	129	578	61
Mariniflexile	10	34	24	19	33	21	55	20	32	15	6	30	89	16	961	6	36	24	16	40	5	31	1300	17
Muricauda	378	580	186	84	172	336	340	77	1251	1603	95	133	99	419	153	131	397	105	823	176	50	116	118	140
Myroides	105	84	179	86	134	431	697	136	146	58	439	365	252	155	94	34	322	63	120	133	236	223	112	405
Nonlabens	269	158	395	132	203	140	233	430	248	116	141	200	232	149	997	56	113	92	86	145	153	256	1227	179
Olleya	24	3	18	17	3	8	20	154	2	18	1	3	4	9	391	2	2	9	6	0	3	12	476	31
Ornithobacterium	618	7287	441	17748	4769	7064	826	7386	3593	10277	76	491	1197	938	2977	6081	5337	10274	1320	3852	583	327	6772	843
Polaribacter	549	241	248	207	596	291	219	519	188	347	162	270	318	230	1242	64	96	218	162	440	252	206	1758	279
Psychroflexus	34	18	3	40	17	15	20	9	10	30	13	8	5	55	102	5	10	59	60	47	11	15	25	20
Riemerella	519	227	424	281	644	413	252	1200	371	212	478	291	238	317	952	1599	306	170	4993	254	149	193	1073	1074
Robiginitalea	164	110	86	58	51	75	128	199	103	80	136	191	149	96	508	87	159	44	62	182	165	79	632	197
Salegentibacter	13	11	53	26	15	21	35	171	13	9	88	28	13	31	394	9	58	12	27	31	33	52	630	15
Sediminicola	42	27	16	41	6	0	82	11	39	17	37	13	18	18	21	7	16	31	18	30	9	58	15	45
Seonamhaeicola	5	7	10	2	31	10	19	8	10	4	37	17	0	74	13	8	15	12	49	28	24	37	8	16
Siansivirga	0	5	10	4	22	1	28	134	45	3	7	55	6	35	295	13	38	6	10	29	15	20	510	10
Tamlana	4	26	12	17	36	11	148	33	2	18	5	7	6	56	28	42	13	98	18	12	9	22	12	50
Tenacibaculum	84	120	127	96	113	82	99	110	69	115	173	92	17	441	240	98	243	116	262	176	358	121	497	112
Weeksella	4	13	8	7	20	10	63	15	2	11	89	37	12	341	50	49	29	9	235	125	55	75	44	13
Wenyingzhuangia	45	1	49	12	2	4	9	14	4	9	43	13	2	7	36	0	3	5	5	7	11	31	35	5
Winogradskyella	138	45	58	143	83	46	157	247	17	83	41	53	164	46	684	9	135	50	128	96	55	82	877	118
Zobellia	57	177	119	24	64	47	33	36	37	47	72	38	55	29	107	60	15	43	40	140	89	49	56	259
Zunongwangia	9	27	75	33	17	28	15	166	28	22	10	17	11	22	472	7	10	17	68	52	9	24	549	15
Ichthyobacterium	1022	95	170	9	50	186	436	25	91	18	232	211	109	11	66	8	102	2	50	26	14	153	42	257
Candidatus Sulcia	16	56	25	47	10	45	26	22	10	33	10	12	21	77	75	22	11	16	42	26	13	36	32	41
Candidatus Walczuchella	12	7	9	0	6	0	10	3	8	5	0	1	2	10	5	0	0	0	5	5	1	9	10	3
Haliscomenobacter	315	150	221	57	83	110	234	74	135	52	131	144	74	101	115	53	371	29	77	193	101	161	138	281
Saprospira	205	71	131	34	22	33	50	184	16	62	16	12	26	17	465	14	44	29	98	33	42	41	641	61
Mucilaginibacter	1345	723	597	438	605	429	743	687	681	503	626	622	505	613	1430	725	1430	267	1540	861	600	552	1535	1178
Pedobacter	359	468	247	626	397	314	318	583	296	256	219	365	246	191	1344	206	361	273	330	496	408	235	1369	445
Pseudopedobacter	726	29	151	35	22	48	418	52	58	28	75	71	59	43	118	20	43	10	52	82	60	124	160	62
Solitalea	88	66	232	118	59	84	76	31	73	149	67	43	55	53	70	16	42	40	50	80	51	91	80	60
Sphingobacterium	660	465	568	481	491	264	612	451	776	265	343	559	554	443	945	139	628	221	320	683	272	447	1114	408
Rhodothermus	128	251	294	70	258	189	235	594	257	357	289	138	170	96	175	217	124	228	239	159	167	232	143	478
Salinibacter	208	349	92	112	239	232	238	137	223	84	173	279	107	63	184	162	61	138	109	406	130	180	162	308
Caldisericum	0	1	10	17	98	11	97	0	0	3	16	7	2	9	0	17	1	22	2	5	2	130	0	1
Caldithrix	136	130	157	42	121	149	166	53	38	125	79	217	80	80	158	55	44	142	142	124	96	106	130	230
Candidatus Cloacimonas	5	38	65	2	13	4	60	5	10	3	43	18	13	16	8	2	17	5	3	40	9	36	2	2
Chlamydia	143	166	63	185	75	96	231	69	45	89	139	95	96	24195	96	65	101	32	96	93	113	89	51	116
Candidatus Protochlamydia	13	76	44	5	13	54	35	5	95	276	7	18	4	17	43	4	12	4	107	26	58	20	49	11
Parachlamydia	1	4	24	12	1	12	0	0	1	3	8	7	0	4	10	3	2	2	5	12	7	1	0	4
Simkania	3	10	6	7	7	9	18	135	1	2	14	11	2	4	9	16	1	5	3	12	8	66	2	3
Waddlia	34	7	14	7	0	5	10	2	6	4	20	39	14	3	13	6	2	5	31	6	18	20	6	7
Chlorobaculum	673	576	256	299	326	765	460	269	459	440	745	636	707	759	468	675	261	221	774	783	1112	556	638	1530
Chlorobium	72	121	206	133	92	166	213	107	126	99	280	237	100	155	216	117	86	158	165	251	170	343	136	380
Chloroherpeton	216	260	145	61	209	115	226	41	417	77	67	201	92	63	49	91	219	11	92	229	99	122	78	225
Pelodictyon	1024	282	250	235	169	658	634	133	661	658	332	748	301	124	206	386	90	190	443	360	289	514	207	716
Prosthecochloris	225	285	287	287	357	256	396	257	264	376	341	219	310	144	452	750	862	251	986	392	415	339	257	529
Anaerolinea	5	205	44	125	93	80	107	57	54	92	348	103	160	54	152	179	69	120	92	165	296	108	132	114
Brevefilum	20	26	22	10	3	2	17	9	3	1	40	5	24	3	6	2	4	5	0	19	4	85	7	29
Candidatus Promineofilum	40	182	121	188	202	155	97	92	130	40	239	163	246	90	135	216	130	134	274	170	249	194	155	197
Caldilinea	47	129	74	68	94	81	82	143	29	48	142	81	189	66	95	77	50	51	67	121	119	208	192	220
Chloroflexus	110	45	70	94	53	32	97	38	60	67	57	28	67	79	134	57	148	8	72	95	73	128	292	101
