Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Thiotrichales	721	284	1033	300	376	548	782	896	505	498	206	722	637	801	790	205	846	1024	644	1141	151	418	241
Vibrionales	1439	571	1268	1668	866	1291	1265	1374	938	1455	854	2480	1738	1471	1096	824	806	1246	1451	1174	668	1160	1269
Xanthomonadales	4017	1670	6412	5334	2353	5029	4176	5341	3557	4391	4077	5708	4025	5116	3625	3485	3455	5124	3979	4721	3055	3673	4016
Hydrogenophilales	531	10	102	109	87	223	54	87	81	76	22	134	97	41	31	20	25	64	31	53	32	36	43
Bacteriovoracales	397	49	152	89	83	53	46	36	141	160	36	238	158	266	260	498	52	295	334	99	394	70	109
Bdellovibrionales	348	28	267	34	70	110	75	160	50	250	143	158	212	63	100	61	71	62	151	42	66	96	74
Mariprofundales	129	127	92	97	82	131	154	129	68	121	141	71	118	174	78	61	25	61	107	66	49	215	66
Brachyspirales	312	66	462	805	165	365	200	403	13405	214	42	377	366	127	79	80	78	112	242	138	383	504	211
Spirochaetales	17657	36037	14667	9279	8577	15300	4419	10857	14384	20649	3341	6978	407750	13579	6665	5624	12538	8687	10104	38630	3739	17129	5340
Synergistales	107355	23013	34101	33180	18708	14418	67707	33733	133860	49805	153639	32134	17943	58906	52863	126984	48628	28608	88622	396329	530179	37929	63669
Acholeplasmatales	315	139	1012	167	463	956	421	622	272	200	230	407	370	332	172	117	138	515	676	303	310	639	605
Entomoplasmatales	1010	169	518	86	387	447	492	440	398	573	147	335	392	491	323	111	408	619	695	512	96	597	614
Mycoplasmatales	1702	571	2205	330	1057	1235	1300	1550	968	1279	494	1478	1057	1612	1201	448	1437	1631	1380	1576	314	725	834
Thermodesulfobacteriales	32	91	15	16	18	25	12	6	229	16	7	8	33	45	20	3	17	16	31	74	29	15	27
Kosmotogales	107	8	38	101	30	41	60	44	19	32	13	95	56	13	81	12	10	12	37	13	59	32	20
Petrotogales	38	17	44	37	89	46	25	49	80	49	22	16	70	28	17	23	43	39	49	43	21	53	79
Thermotogales	836	139	624	149	400	673	318	397	415	239	290	837	404	577	334	1009	260	492	522	476	490	233	334
Methylacidiphilales	3	7	5	7	1	7	7	27	6	10	12	40	24	10	32	6	47	5	6	10	6	20	10
Opitutales	1327	481	1510	1618	558	1570	1514	1699	1378	1307	1333	1414	1269	1311	916	855	630	1162	1192	964	629	1133	1464
Puniceicoccales	165	58	104	81	55	57	81	48	40	47	84	75	47	106	43	55	24	54	104	86	40	56	63
Verrucomicrobiales	448	1205	1274	1071	3564	1299	1002	1068	1112	828	442597	1379	1473	672	628	492	438	847	2051	1053	76730	911	924
Bunyavirales	0	2	2	4	1	0	2	1	1	21	0	0	6	3	0	0	3	0	1	4	0	1	3
Caudovirales	507	61245	16500	1198	40524	913	639	384	23402	394394	3585	2045	15839	1664	86502	115725	21911	153682	39349	1002525	52811	45531	736
Herpesvirales	53	56	4	30	18	12	103	29	7	77	218	42	92	5	22	1	278	5	9	26	35	80	19
Ligamenvirales	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mononegavirales	0	1	1	0	0	3	2	2	0	3	0	0	5	0	5	0	0	0	0	0	1	0	0
Nidovirales	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Ortervirales	20	26	35	18	26	18	20	18	18	13	14	50	19	43	13	38	24	21	12	19	23	25	12
Picornavirales	0	0	0	0	0	0	1	0	1	2	2	0	16	3	0	0	0	0	0	0	1	1	1
Tymovirales	2	0	3	10	0	0	4	6	0	7	1	3	0	5	0	1	3	3	3	0	0	14	12
