Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Clostridiaceae	18398	29275	14101	58622	37633	50001	18852	27327	6842	27782	23435	16582	22003	26114	25298	17688	23937	29243	29785	57563	18248	22374	27700	34796
Clostridiales Family XIII. Incertae Sedis	971	1182	1591	8908	2951	4926	1526	4899	3599	1584	1397	2142	1977	948	1594	1532	1244	6519	2067	2200	2453	1679	2221	3090
Clostridiales Family XVI. Incertae Sedis	78	201	144	197	129	82	167	36	11	43	429	170	157	53	60	52	136	33	219	90	53	172	176	140
Clostridiales Family XVII. Incertae Sedis	345	335	192	831	486	1023	638	261	820	275	916	1421	643	170	369	1215	454	236	173	754	1304	958	285	1029
Eubacteriaceae	13951	59079	16608	65021	66358	102672	22909	28151	5985	22307	19194	42250	30628	27095	22817	38511	21355	59033	29220	79327	34880	18055	114771	61800
Heliobacteriaceae	953	422	326	626	492	1127	910	299	788	225	708	1403	714	176	412	1168	457	358	345	929	485	903	292	1256
Hungateiclostridiaceae	739	3156	1474	3128	2967	3486	1651	1397	402	2073	3043	1959	2155	2761	1522	1323	1416	1557	2609	5349	3243	2316	4234	3766
Lachnospiraceae	3354014	475585	115936	553426	1506806	548214	168207	395715	290592	893393	229878	201629	1053092	584257	441386	856572	670162	197010	836405	294094	709428	174044	295086	873775
Oscillospiraceae	39670	65740	33885	67939	87190	79101	75109	23586	57744	25704	164735	150131	127694	18532	54013	97391	110800	18812	29117	76327	125135	112052	14420	170362
Peptococcaceae	2005	5620	2603	4151	5857	4946	2545	2533	1068	3317	4901	4178	6446	4677	3851	3654	3322	3182	5507	7357	6561	3332	5234	6679
Peptostreptococcaceae	81682	68410	30344	71962	98766	67634	38057	48003	19726	49291	44722	51242	57315	51960	39989	63901	46971	42356	60628	92122	50927	41961	35346	100028
Ruminococcaceae	195810	139247	603378	134983	196397	159433	117837	66710	61364	113898	154299	225800	171657	88234	94884	178465	110917	75495	87653	245019	158374	125977	83161	262483
Symbiobacteriaceae	262	383	310	857	442	313	623	284	126	182	1031	1041	625	302	445	896	273	263	414	573	835	585	503	877
Syntrophomonadaceae	133	737	247	164	758	556	307	84	73	356	435	157	380	446	337	123	209	396	680	341	632	400	397	708
Halanaerobiaceae	128	201	140	174	200	140	127	51	43	67	91	83	77	206	76	94	114	105	92	93	89	89	91	115
Halobacteroidaceae	17	31	42	107	32	53	50	159	7	34	71	62	13	38	72	57	17	20	5	46	53	86	42	22
Natranaerobiaceae	11	17	21	45	38	51	21	12	0	4	57	35	25	36	7	4	18	17	17	75	24	22	22	32
Thermoanaerobacteraceae	700	1259	616	911	1332	879	862	699	289	545	1305	803	888	1023	1042	896	584	605	963	1295	1385	915	2278	1275
Thermoanaerobacterales Family III. Incertae Sedis	332	1764	724	902	1236	1789	805	414	730	918	1088	1169	1039	1296	1354	1038	563	1055	1554	1532	2493	1087	2135	2077
Thermoanaerobacterales Family IV. Incertae Sedis	58	467	123	667	189	138	367	87	5	77	789	379	209	110	245	93	72	51	42	176	347	515	382	113
Thermodesulfobiaceae	63	27	65	28	11	27	50	4	20	63	14	34	3	5	23	21	12	5	20	13	10	44	11	13
Erysipelotrichaceae	12957	21782	14468	70020	36495	28977	7279	22476	2903	17024	16208	10921	14269	21809	7806	10993	12061	21743	13462	57653	19101	9613	15667	18511
Limnochordaceae	150	559	230	419	372	444	237	947	498	561	628	433	524	217	435	524	360	119	415	436	455	571	462	579
Acidaminococcaceae	226683	2451	20065	68895	4001	5361	8874	916	10954	26974	1240	9513	1864	1506	1463	4714	1358	107823	11877	5569	4899	8500	1715	11425
Selenomonadaceae	9823	3792	10716	2211	2389	2269	9890	2309	4754	1605	3754	4447	3268	1943	2675	2655	2081	1863	2586	3077	4195	7696	2671	4363
Sporomusaceae	875	294	727	187	231	432	602	99	158	72	75	1173	264	271	189	356	182	107	353	561	446	549	176	315
Veillonellaceae	133493	13711	360204	35068	31561	21941	7417	15660	94725	43042	3814	7759	3663	4894	15645	9651	2633	29791	16478	62099	9879	25909	2955	36321
Gottschalkiaceae	17	95	40	236	222	226	60	130	12	193	185	60	89	146	69	96	83	138	94	230	313	78	239	97
Peptoniphilaceae	659	653	672	1773	953	1172	708	3941	445	669	972	837	400	732	755	1030	431	697	851	650	838	1219	519	830
Tissierellaceae	5	103	21	29	36	25	10	53	60	18	177	12	8	91	70	13	29	8	13	59	38	95	25	12
Fusobacteriaceae	3485	453	488	1060	1412	1182	813	3784	13384	4263	686	460	96701	1062	2122	3002	196	362	12191	1209	2161	523	394	2964
Leptotrichiaceae	153	187	155	261	284	295	329	176	1287	165	338	193	92	273	129	93	88	180	141	440	184	288	174	273
Gemmatimonadaceae	296	433	224	324	246	412	349	547	497	226	596	586	475	215	421	529	465	322	352	490	653	451	242	633
Ignavibacteriaceae	5	30	26	24	31	21	59	142	31	34	17	17	34	17	450	4	2	60	3	10	8	60	592	8
Melioribacteraceae	29	77	97	87	208	141	68	107	73	28	114	83	180	118	176	35	32	141	101	310	104	87	244	94
Kiritimatiellaceae	223	205	116	81	171	151	139	81	177	78	328	251	341	228	197	71	194	133	228	153	369	170	183	406
Nitrospiraceae	286	392	519	368	487	636	312	1249	490	331	472	660	329	364	605	1007	478	159	501	542	726	355	677	987
Phycisphaeraceae	112	182	58	70	94	65	148	48	27	27	136	120	159	56	88	77	66	140	57	130	88	142	57	113
Candidatus Brocadiaceae	92	67	49	75	16	10	96	105	20	22	108	125	39	43	482	77	15	21	183	126	194	89	589	91
Gemmataceae	150	332	90	157	70	149	131	136	327	515	346	137	162	122	130	105	71	100	297	276	189	141	92	350
Isosphaeraceae	129	158	169	232	216	160	176	1208	54	54	297	154	352	99	97	395	129	137	198	261	254	288	173	190
Planctomycetaceae	469	995	584	508	573	1006	1356	1063	794	1075	3577	1519	764	504	625	871	550	266	638	956	857	938	432	1352
Acidithiobacillaceae	214	167	144	120	147	103	208	292	207	86	298	430	125	132	246	380	183	103	208	293	154	333	202	555
Caulobacteraceae	1730	1295	1250	680	992	1226	961	1669	989	759	1056	1671	1283	764	1263	1344	811	728	917	1797	1465	1071	733	1452
Caedimonadaceae	19	5	61	0	0	6	0	0	0	1	13	0	1	7	28	0	0	3	3	1	2	5	0	1
Candidatus Paracaedibacteraceae	90	74	180	12	17	19	21	3	9	46	7	59	16	16	156	21	8	3	18	12	22	47	15	11
Holosporaceae	0	17	7	10	6	4	13	0	6	7	25	9	10	4	2	2	1	4	4	21	1	11	11	5
Magnetococcaceae	206	166	74	82	149	195	110	43	119	383	227	196	99	104	110	122	217	123	265	94	87	79	96	343
Parvularculaceae	0	19	76	37	12	38	28	183	3	6	34	27	15	17	19	343	6	12	15	13	74	30	10	26
Pelagibacteraceae	53	32	116	32	108	97	99	11	26	20	92	97	36	82	32	26	21	36	71	27	27	75	19	42
Aurantimonadaceae	90	261	405	140	134	138	294	63	138	76	313	208	223	86	268	167	99	69	231	304	355	217	216	413
Bartonellaceae	158	192	454	107	197	168	310	239	92	154	250	260	166	276	616	73	56	127	140	274	133	244	700	269
Beijerinckiaceae	37	69	134	29	62	74	112	27	15	10	46	58	67	25	63	100	42	5	30	49	321	187	53	85
Bradyrhizobiaceae	2015	2688	2810	2215	1913	2046	2146	4341	1648	1504	2918	2629	2652	1428	3250	4613	2879	1446	3584	3085	3959	2504	2123	3997
Brucellaceae	159	406	489	248	189	245	247	70	446	525	343	230	269	118	212	238	175	112	451	303	237	487	148	361
Chelatococcaceae	400	170	100	142	97	353	186	209	510	125	83	469	93	54	296	319	35	121	118	209	344	182	47	486
Cohaesibacteraceae	96	161	161	245	141	271	74	509	34	109	174	141	145	151	158	151	175	63	222	403	154	107	125	284
Hyphomicrobiaceae	1751	1575	888	523	869	834	1184	1262	405	727	1605	690	1218	1031	1278	832	631	1084	1465	980	2104	929	1190	2163
Methylobacteriaceae	1234	1072	1011	997	1061	815	1183	2199	667	820	1567	974	1370	507	2078	1885	2257	873	1932	1103	1384	1223	1647	2330
Methylocystaceae	158	116	129	111	191	126	120	613	128	112	131	274	95	103	161	462	107	38	155	131	405	193	179	160
Phyllobacteriaceae	996	1021	1282	984	905	979	950	1226	727	1075	1327	811	1256	570	1133	1441	1263	674	1718	1394	964	1325	1382	1407
Rhizobiaceae	2469	3403	3655	2967	2708	2594	2714	3817	1993	1835	4196	3312	3205	1932	3407	3829	1797	1883	3064	4457	3983	3554	3622	4352
Rhodobiaceae	298	987	505	143	376	421	478	210	107	412	547	441	673	718	713	143	245	389	822	515	1138	287	654	1293
Xanthobacteraceae	488	576	289	408	248	516	394	777	446	204	455	635	493	294	395	833	242	341	245	715	685	509	529	983
Hyphomonadaceae	1220	270	388	122	135	322	891	96	124	98	447	365	296	89	184	144	269	157	129	204	132	313	221	510
Rhodobacteraceae	4161	4838	5789	4608	4278	4683	4428	6159	4821	3717	5478	5474	4470	2615	6088	6466	4507	3163	5717	5517	5080	4905	4680	6433
Acetobacteraceae	1942	1798	2098	2038	1359	1828	1876	1134	1226	1101	2605	1946	1794	1005	2263	1460	1338	946	1626	2888	1476	1690	2558	2332
Rhodospirillaceae	1749	2509	4033	1855	2009	2659	1909	2425	1701	1961	2807	2741	2374	1277	3933	2651	1850	1424	2449	3097	3910	2369	3432	3933
Anaplasmataceae	94	85	113	181	153	153	135	278	46	100	88	102	87	109	195	91	40	106	99	93	151	103	141	162
Candidatus Midichloriaceae	15	6	49	0	0	10	27	1	0	3	0	3	2	19	2	2	0	2	4	4	5	24	2	19
Rickettsiaceae	120	55	142	204	63	66	74	55	60	50	530	69	41	36	113	12	2	92	44	113	124	73	433	39
Erythrobacteraceae	1692	2129	1144	985	954	1914	1622	1171	1593	1685	1679	2238	1885	1152	2150	1822	1110	1181	2219	2130	2473	1442	1510	3447
Sphingomonadaceae	3451	2973	3233	2393	2231	2058	2925	4798	1960	3067	3459	2759	2766	2111	4705	5819	4813	1986	5472	3461	4114	2572	2830	5248
Alcaligenaceae	2515	3050	3363	2581	2408	2315	2382	5557	2562	2145	2884	2990	2918	1610	3578	3817	2510	2257	3077	3955	3629	2072	2654	4162
Burkholderiaceae	5406	7230	6160	4539	4524	4977	3999	6054	5411	4133	5265	4434	6609	3644	6904	4205	3240	5200	6085	6879	8547	5023	6077	7560
Comamonadaceae	4110	4593	3985	3942	11299	4773	4207	459933	4125	763963	4926	5329	254329	12898	30318	11393	87313	13688	179243	6058	6533	3640	4897	6793
Oxalobacteraceae	2179	1927	2313	1737	1129	2001	1759	1215	1758	1642	1674	2102	1752	903	1848	2418	1770	1210	1860	2113	1821	1563	1534	2234
Sutterellaceae	10289	1541	7865	2648	2616	2657	478	2671	14010	4107	367	599	4489	595	5086	569	773	13550	3172	1435	2342	1137	1181	723
Chromobacteriaceae	1303	935	1089	924	812	1106	956	1031	821	598	1336	1041	1167	516	890	1612	1004	459	1034	1209	1683	920	1218	1164
Neisseriaceae	1504	1950	1804	981	1260	1613	1451	2086	955	1578	1303	1550	1474	1090	1829	1970	1766	835	1581	1458	2526	1537	1617	2046
Gallionellaceae	235	358	377	379	374	372	274	141	167	175	357	191	274	254	297	224	219	215	431	688	419	569	267	265
Methylophilaceae	256	291	357	252	282	168	262	157	458	162	260	308	299	137	259	104	345	134	244	258	224	317	228	347
Nitrosomonadaceae	223	1424	463	233	488	540	356	632	192	625	588	288	762	867	1263	476	398	336	1306	558	1539	435	1452	1299
Sterolibacteriaceae	131	251	120	97	86	62	54	58	71	43	90	37	121	43	125	36	32	101	75	149	132	46	464	170
Thiobacillaceae	186	119	47	71	53	92	131	65	37	43	46	73	51	12	167	31	54	69	46	60	85	59	62	159
Azonexaceae	244	105	303	47	110	101	52	462	114	107	191	74	84	125	185	122	85	241	78	127	238	79	102	94
Rhodocyclaceae	171	148	215	180	95	120	101	166	111	214	126	160	205	44	118	75	82	250	176	126	168	104	104	147
Zoogloeaceae	779	864	1103	665	639	633	547	897	528	744	857	477	1010	468	1161	946	1088	634	1236	838	1442	893	536	865
Candidatus Desulfofervidaceae	6	2	17	11	10	31	6	2	2	5	5	4	40	7	5	5	3	2	9	1	5	5	3	4
Bradymonadaceae	47	241	83	74	53	34	88	13	7	10	190	86	147	65	72	27	87	23	39	153	113	154	64	296
Desulfarculaceae	182	335	113	389	387	580	338	1146	466	247	661	955	505	163	946	1009	402	270	359	720	691	721	211	837
Desulfobacteraceae	483	1482	542	1123	911	924	740	721	187	725	1350	1192	1338	819	1462	732	921	385	991	1374	1748	885	2025	1644
Desulfobulbaceae	432	399	419	244	359	322	321	401	186	378	393	466	684	368	495	373	271	221	625	403	673	305	272	465
Desulfohalobiaceae	34	103	35	109	38	58	63	31	90	102	209	45	59	45	144	183	23	16	131	90	207	55	122	47
Desulfomicrobiaceae	368	1132	314	616	367	806	347	389	934	1223	980	412	709	608	1365	723	695	390	1214	1096	1211	316	977	698
Desulfovibrionaceae	132740	214419	56895	57970	81490	93581	73006	78304	152259	114488	162938	119736	234052	170049	160957	119040	89633	65741	160594	174852	236778	26844	161579	182067
Desulfurellaceae	25	41	91	78	25	4	52	9	29	20	53	33	6	41	16	39	30	14	23	22	9	39	19	6
Desulfuromonadaceae	919	1593	716	690	977	1134	1046	1330	1089	1167	1657	1813	1672	1173	1380	1764	940	543	1520	1680	2001	1236	1586	2303
Geobacteraceae	1770	2322	1357	2173	1706	2641	1691	2373	2694	2755	3233	2648	2580	1362	3549	3192	2497	1397	4107	2665	2464	2144	1849	3256
Anaeromyxobacteraceae	524	748	211	632	630	562	499	290	221	293	725	699	661	465	821	542	446	500	322	689	592	643	452	1076
Archangiaceae	319	604	306	495	313	427	511	508	303	282	718	623	509	305	578	958	374	465	352	697	881	458	431	674
Kofleriaceae	580	239	175	220	115	373	321	123	304	149	333	551	234	94	241	334	182	104	180	335	216	298	165	443
