Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Ruminococcaceae	1.90549	14.82369	7.8979	28.98298	6.52925	3.87385	10.68845	15.03748	32.98968	12.25754	6.50903	19.16154	11.03039	14.2493	7.64455	5.50253	19.14029	5.29255	6.06501	23.52562	6.88031	14.37619	12.52727	17.33518
Erysipelotrichaceae	0.00249	0.00331	0.04543	0.15998	0.38858	0.00168	0.01244	0.02017	0	0	0.02582	0	0	0.05648	0.32414	0.1252	0.08865	0.03725	0.0343	0.07242	0.86891	0.00429	1.95633	0.16955
Firmicutes_unclassified	0	0	0	0	0	0	0	0.00353	0	0	0.2264	0	0	0	0	0	0	0	10.43402	0	0	0	0.00432	0
Acidaminococcaceae	2.7814	2.36073	0.48639	1.093	3.99643	0.83568	1.57684	4.79726	4.52893	3.05413	8.71697	0	0.94029	1.96215	18.45131	1.24707	9.40342	0.3018	0.36504	2.89339	0.64577	6.79155	1.62444	3.65179
Selenomonadaceae	0	0	0	0	0	0.68188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellaceae	1.11331	0	0	0.4966	0.59588	1.18857	0	0.05011	0.92285	0.10053	13.21084	0	0.14893	0.81902	0.01235	0	0.79406	0.2765	0.25415	0.02336	0.06581	0.11962	0.41141	0.26612
Fusobacteriaceae	0	0	0.80815	0	0	0	0	0	0	0	0	0	0.03778	0	0	0	0	0.0066	0.00373	0	0.00526	0.03361	0	0
Victivallaceae	0	0	0.51479	0	0.0109	0.6905	0.01847	0.31642	0	0	0.0116	0	0.04238	0.20048	0	0	0	0	0.14354	0.01308	0.04282	0	0	0
Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyllobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonadaceae	0	1.86919	2.79962	0.08695	0.17666	0	0	0	0	0	0	0	1.78155	0	0	0	0	3.84682	0.40392	0.15222	3.16338	0.10544	0	0
Sutterellaceae	0.01517	0	0.46555	0.0199	6.03595	2.1342	0.26903	0.41369	0.00289	0	0.04139	0	0.78311	0.04352	0	0.01166	0	0.24771	1.61781	0.07872	0.6297	0	0.21535	0.10962
Desulfovibrionaceae	1.7664	3.00231	3.53642	1.28826	1.46386	1.56699	4.74728	7.11765	4.35271	4.33864	1.54171	6.77715	2.28518	5.83095	2.73133	1.72748	0.88813	1.34938	5.58637	3.40238	0.86867	3.64236	0.73563	1.48799
Campylobacteraceae	0	0	0.0124	0.06379	3.38321	0.01877	0.05013	0	0	0.03322	0	0.01559	0.49075	0.0367	0	0.11713	0	0.13889	3.39544	0.08854	0.0084	0.00345	0.19519	0
Helicobacteraceae	0	0	0	0.10503	0	0	0	0.02115	0	0.03662	0	0.02184	0.0919	0	0.00308	0.00955	0	0.00982	3.14772	0	0	0	0.50357	0.00113
Idiomarinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae	0.2758	1.81772	16.83764	2.90586	3.96438	0.02416	4.65775	0.15824	0.32123	3.3752	0.53358	0.06272	0.32457	0.03099	0.09427	0.24487	0.27622	1.10169	3.63124	0.45354	3.94826	2.62436	6.87004	0.03687
Halomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pasteurellaceae	0.00351	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0.33078	0	0.00192	0	0	0	0	0	0
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetaceae	0	0.03743	0.04178	0.0158	0.01218	0	0.75343	0.52235	2.19592	0.36301	4.12638	4.07372	0.01781	0.15972	1.50517	1.51364	0.351	0.00113	0.05198	1.20839	0.00102	0.07646	0.01927	0.16134
Synergistaceae	0.32354	6.00947	1.4147	2.24558	4.51937	0.23704	2.24873	5.83049	2.76813	0.33904	0	1.0148	1.54493	0.69643	0.40839	0.03518	0.2353	1.78596	4.77935	15.97855	30.57808	14.78156	0.2329	4.1821
Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansiaceae	0	0	0	0	0.10443	20.25233	0	0	0	0	0	0	0	0	0	0	0	0.81624	1.27224	0	9.62786	0	0.04505	0
Eukaryota_unclassified	0	0	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
