Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Thermoplasma	17	7	3	1	1	1	2	1	1	1	1	7	6	2	5	1	3	4	1	3	0	0	7
Aciduliprofundum	4	0	7	23	8	4	7	2	30	7	6	5	6	9	12	6	7	6	2	5	1	2	6
Candidatus Nitrosocaldus	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Nitrososphaera	4	2	3	28	13	7	37	13	2	12	0	10	5	0	0	7	1	1	14	2	1	18	0
Candidatus Nitrosopelagicus	0	0	0	0	0	0	0	1	0	1	0	0	14	0	0	0	0	0	2	0	0	4	3
Candidatus Nitrosotenuis	0	0	0	11	0	0	1	0	1	2	3	0	0	4	2	1	2	0	4	1	0	0	4
Candidatus Nitrosomarinus	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
Nitrosopumilus	2	2	3	0	15	0	0	0	0	1	5	0	10	4	6	1	10	5	11	2	1	5	0
Thermobaculum	82	4	25	5	48	103	32	51	707	24	4	123	79	12	8	10	20	0	26	7	35	12	28
Luteitalea	163	41	237	97	167	268	142	172	86	51	206	219	134	137	124	91	83	54	191	110	100	193	98
Acidobacterium	115	98	150	124	55	174	168	98	67	40	146	167	179	39	63	84	243	64	195	103	109	187	160
Candidatus Koribacter	60	37	299	335	308	437	66	82	261	36	540	168	58	139	46	100	17	221	288	115	39	190	143
Granulicella	282	137	411	220	109	650	265	628	356	251	465	246	332	248	362	241	796	502	207	188	283	428	310
