ID	micro	redundance	grp
GXL_11714	Chlamydiae	1.20976	GXL
GXL_11714	Euryarchaeota	11.60764	GXL
GXL_11714	Firmicutes	42.08497	GXL
GXL_11714	Others	1.00244	GXL
GXL_11714	Proteobacteria	4.17539	GXL
GXL_11714	Spirochaetes	1.20839	GXL
GXL_11714	Synergistetes	15.97855	GXL
GXL_7837	Actinobacteria	2.06134	GXL
GXL_7837	Bacteroidetes	30.69038	GXL
GXL_7837	Euryarchaeota	2.58512	GXL
GXL_7837	Firmicutes	15.78969	GXL
GXL_7837	Others	0.0491	GXL
GXL_7837	Proteobacteria	8.61841	GXL
GXL_7837	Synergistetes	30.57808	GXL
GXL_7837	Verrucomicrobia	9.62786	GXL
GXL_9463	Actinobacteria	1.67136	GXL
GXL_9463	Bacteroidetes	31.23824	GXL
GXL_9463	Euryarchaeota	3.42149	GXL
GXL_9463	Firmicutes	42.40166	GXL
GXL_9463	Others	0.11007	GXL
GXL_9463	Proteobacteria	6.37562	GXL
GXL_9463	Synergistetes	14.78156	GXL
GXL_5076	Actinobacteria	6.9482	GXL
GXL_5076	Bacteroidetes	41.20284	GXL
GXL_5076	Euryarchaeota	1.35743	GXL
GXL_5076	Firmicutes	41.67454	GXL
GXL_5076	Others	0.29722	GXL
GXL_5076	Proteobacteria	8.51978	GXL
GXL_7910	Bacteroidetes	45.43327	GXL
GXL_7910	Euryarchaeota	4.53839	GXL
GXL_7910	Firmicutes	43.29984	GXL
GXL_7910	Others	0.91078	GXL
GXL_7910	Proteobacteria	1.63562	GXL
GXL_7910	Synergistetes	4.1821	GXL
