ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
SHD_2786,2,12,183,Female,SHD_2785,1.2,188.19,10.86,45.11,57.64
SHD_2789,3,18,163,Male,SHD_2661,1.9,171.22,9.39,38.94,55.73
SHD_2798,5,15,162,Male,SHD_460,1.1,197.06,11.76,44.84,57.22
SHD_2816,1,11,161,Male,SHD_683,2.12,156.72,15.06,63.1,63.24
SHD_2820,2,14,142,Male,SHD_534,1.64,201.7,6.02,40.49,57.51
SHD_2821,3,12,181,Male,SHD_1514,2.05,188.48,14.2,42.29,55.36
SHD_2832,1,17,171,Male,SHD_2831,1.7,170.1,12.06,47.13,58.01
SHD_2837,1,14,172,Male,SHD_1914,1.45,185.06,9.37,56.78,62.74
SHD_2847,3,15,163,Male,SHD_1536,1.35,179.47,13.84,40.43,54.76
SHD_2849,3,15,172,Male,SHD_652,2.4,171.31,12.54,53.84,60.48
SHD_2857,1,16,172,Male,SHD_2856,1.8,209.46,11.57,43.53,56.77
SHD_2863,1,17,153,Male,SHD_1035,2.16,181.8,10.12,39.34,55.63
SHD_2865,2,16,173,Male,SHD_1852,1.8,166.38,7.4,42.21,57.71
SHD_2881,1,16,172,Female,SHD_1142,1.05,202.87,14.2,48.19,57.68
SHD_2882,5,11,171,Male,SHD_404,1.8,195.25,11.12,43.32,56.84
SHD_2883,2,14,174,Female,SHD_1337,1.55,205.62,13.85,44.67,56.42
SHD_2884,6,16,172,Male,SHD_693,1.3,191.89,13.1,39.31,54.58
SHD_2887,2,2,183,Male,SHD_2886,2,207.93,10.45,46.64,58.38
SHD_2890,1,9,172,Female,SHD_2889,1.25,208.14,10.07,45.66,58.13
SHD_2892,1,15,143,Male,SHD_2891,1.56,166,12.6,33.9,52.63
SHD_2894,4,6,181,Male,SHD_1264,1.5,187.04,9.13,44.01,57.81
SHD_2907,3,13,162,Female,SHD_746,1.85,190.25,16.12,47.25,56.64
SHD_2923,3,11,162,Female,SHD_873,1.85,189.23,9.63,45.16,58.09
SHD_2926,2,16,161,Male,SHD_2925,2.3,174.03,12.01,39.01,54.84
SHD_2927,3,14,162,Female,SHD_1476,1.9,168.44,17.82,41.29,53.7
SHD_2939,1,6,151,Male,SHD_1532,1.34,183.69,13.35,39.8,54.68
SHD_2940,2,16,182,Female,SHD_1274,1.85,194.57,13.79,46.07,56.99
SHD_2942,4,12,161,Female,SHD_1334,1,205.67,10.29,46.93,58.55
SHD_2947,3,14,181,Male,SHD_2946,1.85,177.46,10.88,42.93,56.77
SHD_2949,3,15,163,Female,SHD_2596,1.55,186.46,11.08,47.72,58.58
SHD_2966,3,11,143,Male,SHD_2965,1.78,210.86,13.01,43.82,56.38
SHD_2980,3,11,182,Female,SHD_2699,1.8,171.8,11.59,47.9,58.48
SHD_2982,1,13,182,Female,SHD_2981,1.35,190.38,9.73,42.34,56.94
SHD_2293,3,18,184,Female,SHD_854,1.6,186.51,11.78,44.24,56.97
SHD_2987,2,16,184,Male,SHD_2986,1.6,181.92,11.99,43.65,56.67
SHD_2990,3,17,152,Male,SHD_460,1.48,189.92,12.24,42.49,56.13
SHD_2995,1,15,164,Male,SHD_1060,1.84,172.84,12.71,43.41,56.32
SHD_2996,1,15,182,Male,SHD_2981,1.55,172.96,14.63,47.18,57.13
SHD_3000,4,13,172,Male,SHD_2436,2.3,170.5,13.62,44.8,56.55
SHD_3001,4,12,162,Male,SHD_667,1.65,174.13,14.34,48.72,57.84
SHD_3003,5,12,164,Male,SHD_601,2.25,154.7,13.86,42.49,55.56
SHD_3011,1,14,181,Male,SHD_3010,1.65,163.25,10.13,38.63,55.35
SHD_3016,3,14,161,Female,SHD_1113,1.2,178.23,11.07,43.01,56.74
SHD_3019,1,10,133,Female,SHD_714,1.12,164.35,17.53,36.68,51.99
SHD_3029,3,12,171,Female,SHD_1699,1.45,222.08,9.66,41.19,56.52
SHD_3031,3,17,174,Female,SHD_1351,1.85,193.19,10.26,43.68,57.28
SHD_3035,3,12,183,Female,SHD_2648,1.45,175.18,11.5,49.97,59.32
SHD_885,1,17,162,Female,SHD_825,2.3,165.74,10.92,46.42,58.13
SHD_3045,6,16,172,Female,SHD_961,1.35,197.15,10.31,42.94,56.98
SHD_3055,1,17,153,Male,SHD_1757,1.64,184.17,13.78,42.53,55.6
SHD_3056,2,16,142,Male,SHD_1028,1.7,188,13.45,48.32,57.99
SHD_3064,5,14,171,Female,SHD_843,1.75,190.92,8.94,47.96,59.43
SHD_3077,3,18,172,Male,SHD_2079,1.25,224.57,10.02,44.73,57.78
SHD_915,4,12,171,Female,SHD_914,1.45,185.56,11.47,52.67,60.39
SHD_3082,2,15,184,Male,SHD_3081,1.4,194.26,12.23,36.8,53.89
SHD_3083,2,16,142,Male,SHD_418,2.25,157.75,13.64,49.88,58.54
SHD_3086,2,12,161,Female,SHD_2192,2.04,199.27,14.95,43.02,55.39
SHD_3093,1,14,172,Male,SHD_3092,1.4,176.16,12.94,48.68,58.31
SHD_3095,2,15,153,Female,SHD_2825,1.12,232.32,9.02,40.61,56.51
SHD_3098,1,11,162,Male,SHD_3097,1.75,184.78,13.97,47.93,57.66
SHD_3108,6,18,173,Female,SHD_404,1.45,192.94,11.25,44.68,57.33
SHD_3111,1,15,172,Female,SHD_3110,1.05,184.4,14.24,45.45,56.59
SHD_3113,1,11,171,Female,SHD_1085,0.9,206.36,12.31,47.47,58.06
SHD_3118,1,17,184,Male,SHD_3117,1.4,188.41,14.64,38.21,53.61
SHD_3122,6,16,164,Female,SHD_709,2.1,181.56,13.22,37.49,53.82
SHD_3123,1,9,172,Male,SHD_2889,1.5,197.56,11.88,39.06,54.9
SHD_3127,3,13,161,Male,SHD_1388,1.6,171.05,13.33,34.66,52.67
SHD_3133,2,15,181,Female,SHD_3132,1.35,193.9,10.87,40.59,55.86
